2010-07-22 23:41:32 Debug: Notice (8): Undefined property: Post::$schema in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 135]
2010-07-22 23:41:32 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:43:52 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:44:31 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:44:31 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:45:05 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:45:08 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:47:03 Debug: Notice (8): Undefined property: View::$Paginator in [C:\xampp\htdocs\cake_1.3.3\app\views\posts\index.ctp, line 5]
2010-07-22 23:47:58 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:48:07 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:57:04 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:57:06 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:57:51 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:57:53 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:57:54 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:57:55 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:57:56 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:57:57 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:58:18 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:59:27 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-22 23:59:52 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-23 00:00:01 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-23 00:00:56 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-23 00:01:48 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-23 00:01:59 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-23 00:03:46 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-23 00:03:48 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
2010-07-23 00:04:03 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\cake_1.3.3\app\models\datasources\couchdb_source.php, line 195]
